"","year","nest.identity","season","clutch.size","mean.egg.volume","chick.identity","laying.order","egg.volume","relative.egg.volume","chick.hatched.","hatching.asynchrony","time.to.return","sex","paternity","mass1","mass2","mass3","mass4","mass5","mass6","mass7","mass8","mass9","mass10","mass11","mass12","mass13","tarsus.length..mm..at.brood.age.13","nestling.survival","recruitment"
"109",2002,19,4,6,1553.45,109,4,1582.27,28.82,"yes",0,2,"female","social",2.25,3.25,4.5,6.5,9,10.25,12,13.5,13.75,15,15.25,15.75,15.5,20.55,"fledged","notrecruited"
"110",2002,19,4,6,1553.45,110,1,1589.57,36.12,"yes",5.25,4.75,"male","social",2,2.75,4.25,5.5,8.25,9.5,11.25,12.75,13.75,15,14.5,14.75,14.75,19.5,"fledged","notrecruited"
"111",2002,19,4,6,1553.45,111,5,1523.88,-29.57,"yes",10,2.5,"female","social",2,2.5,3.75,5.25,7,8.5,10.5,11.5,12.75,14,14.5,14.75,15,20.43,"fledged","notrecruited"
"112",2002,19,4,6,1553.45,112,2,1544.38,-9.07,"yes",17,8.5,"female","social",NA,1.75,2.5,3.75,6,7,9.25,10.75,12,13.75,14.5,15,15.5,19.69,"fledged","notrecruited"
"113",2002,19,4,6,1553.45,113,6,1509.63,-43.82,"yes",32.5,2,"female","social",NA,1.5,2.5,3.25,5,6.25,8.25,10.5,11,13.25,13.5,14.5,15,19.98,"fledged","recruited"
"114",2002,19,4,6,1553.45,114,3,1570.97,17.52,"no",NA,NA,"male","social",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dead","notrecruited"
"115",2002,20,4,6,1533.27,115,5,1500.38,-32.89,"yes",0,0.25,"female","social",2,3.25,5,7.25,7.25,9,10,11.5,12,12.75,12.75,13.5,13.75,19.23,"fledged","notrecruited"
"116",2002,20,4,6,1533.27,116,3,1538.76,5.5,"yes",4.25,6.5,"female","social",1.75,2.5,4.25,6.25,7.25,8.5,9.75,10,11.5,10.75,12.5,13.75,14.5,19.12,"fledged","recruited"
"117",2002,20,4,6,1533.27,117,6,1654.48,121.22,"yes",4.25,6.5,"male","social",1.75,3,4.5,7.25,7.75,9.25,10.5,12.75,12.75,14.25,14.5,15,16,18.92,"fledged","notrecruited"
"118",2002,20,4,6,1533.27,118,2,1507.43,-25.84,"yes",5.25,5.5,"male","social",1.75,2.5,4,6,7,8.5,10.25,11.5,11.5,11.75,13,13.5,14.25,19.4,"fledged","notrecruited"
