Location Number,Location Name,Address,City,State,Zip Code,Phone Number,Fax Number,Latitude,Longitude
ISRO,Isle Royale National Park,"Isle Royale National Park, 800 East Lakeshore Drive",Houghton,Michigan,49931-1869 ,(906) 482-0984,(906) 482-8753,47.1225521,-88.5645333
JAGA,James A Garfield National Historic Site,"James A. Garfield National Historic Site, 8095 Mentor Avenue",Mentor,Ohio,44060,(440) 255-8722 ,(440) 974-2045,41.664495,-81.35085
JELA,Jean Lafitte National Historical Park and Preserve,419 Decatur Street,New Orleans,LA,70130,,(504) 589-3851,29.955125,-90.064502
JEFF,Jefferson National Expansion Memorial,"Jefferson National Expansion Memorial, 11 N. 4th Street",St. Louis,MO,63102,(314) 655-1700,,38.624901,-90.186317
JECA,Jewel Cave National Monument,"11149 U.S. Highway 16, Building B12",Custer,South Dakota,57730,(605) 673-8300 ,(605) 673-8301,43.764308,-103.607462
jica,Jimmy Carter National Historic Site,"Jimmy Carter National Historic Site, 300 North Bond Street",Plains,Georgia,31780,(229) 824-4104 ,(229) 824-3441,32.0367522,-84.3934827
JODA,John Day Fossil Beds National Monument,"32651 Highway 19,",Kimberly,OR,97848,,(541) 987-2336,44.653496,-119.650654
JOFI,John Fitzgerald Kennedy National Historic Site,"John Fitzgerald Kennedy National Historic Site, 83 Beals Street",Brookline,Massachusetts,02446,(617) 566-7937,,42.3460692,-71.1244352
jomu,John Muir National Historic Site,"John Muir National Historic Site, 4202 Alhambra Ave.",Martinez,CA,94553,(925) 228-8860 ,(925) 228-8192,37.9921651,-122.130977
JOFL,Johnstown Flood National Memorial,"Johnstown Flood National Memorial, 733 Lake Road",South Fork,PA,15956,,(814) 495-7463,40.3508419,-78.7721602
jotr,Joshua Tree National Park,"Joshua Tree National Park, 74485 National Park Drive",Twentynine Palms,CA,92277,(760) 367-5500 ,(760) 367-6392,34.129523,-116.036937
juba,Juan Bautista de Anza National Historic Trail,"1111 Jackson St., Suite 700",Oakland,CA,94607,,(510) 817-1505,37.800356,-122.266384
kala,Kalaupapa National Historical Park,"Superintendent, POB 2222",Kalaupapa,HI,96742,,(808) 567-6729,21.189792,-156.980138
kaho,Kaloko-Honokohau National Historical Park,"Kaloko-Honokohau National Historical Park, 73-4786 Kanalani St., #14",Kailua-Kona,Hawaii,96740,,(808) 329-2597,19.689206,-156.021329
katm,Katmai National Park & Preserve,P.O. Box 7,King Salmon,Alaska,99613,(907) 246-3305 ,(907) 246-2116,58.756222,-156.51724
kefj,Kenai Fjords National Park,"Kenai Fjords National Park, P.O. Box 1727",Seward,Alaska,99664,,(907) 422-0571,59.8463648,-150.1844857
kemo,Kennesaw Mountain National Battlefield Park,"Ranger Activities, 900 Kennesaw Mountain Dr.",Kennesaw,GA,30152,,(770) 528-8398,33.9830896,-84.5780814
KEWE,Keweenaw National Historical Park,25970 Red Jacket Road,Calumet,Michigan,49913-2948 ,,(906) 337-3169,47.2423702,-88.4480218
KIMO,Kings Mountain National Military Park,"Superintendent, 2625 Park Rd",Blacksburg,SC,29702,(864) 936-7921 ,(864) 936-9897,35.078017,-81.395068
klse,Klondike Gold Rush - Seattle Unit National Historical Park,319 Second Avenue South,Seattle,WA,98104,(206) 220-4240 ,(206) 381-0664,47.5993181,-122.3318109
klgo,Klondike Gold Rush National Historical Park,P.O. Box 517,Skagway,AK,99840,(907) 983-9200,(907) 983-9249,59.54944,-135.269027
KNRI,Knife River Indian Villages National Historic Site,"P.O. Box 9, 564 County Road 37",Stanton,ND,58571,,,47.4003132,-101.4864866
kova,Kobuk Valley National Park,PO Box 1029,Kotzebue,AK,99752,(907) 442-3760 ,(907) 442-8316,67.146678,-161.292928
lacl,Lake Clark National Park & Preserve,"240 West 5th Avenue, Suite 236",Anchorage,AK,99501,,,61.2173565,-149.886172
lame,Lake Mead National Recreation Area,601 Nevada Way,Boulder City,NV,89005,,(702) 293-8936,35.9764797,-114.8385611
lavo,Lassen Volcanic National Park,"Lassen Volcanic National Park, P.O. Box 100",Mineral,CA,96063-0100 ,(530) 595-4480,(530) 595-3262,40.5093134,-121.4330998
labe,Lava Beds National Monument,P.O. Box 1240,Tulelake,CA,96134,,(530) 667-2737,41.873101,-121.519764
LECL,Lewis & Clark National Historic Trail,601 Riverfront Drive,Omaha,Nebraska,68102,(402) 661-1804 ,(402) 661-1805,41.264613,-95.924517
LEWI,Lewis and Clark National Historical Park,92343 Fort Clatsop Road,Astoria,OR,97103-9197 ,(503) 861-2471 ext. 214 ,(503) 861-2585,46.1370048,-123.8798795
LIBO,Lincoln Boyhood National Memorial,"2916 E South Street, PO Box 1816",Lincoln City,IN,47552,(812) 937-4541 ,(812) 937-9929,38.113702,-86.999079
LIHO,Lincoln Home National Historic Site,"Lincoln Home NHS, 413 South Eighth Street",Springfield,Illinois,62701-1905 ,(217) 492-4241 ,(217) 492-4673,39.7981317,-89.6451345
LIBI,Little Bighorn Battlefield National Monument,"Little Bighorn Battlefield National Monument, PO Box 39",Crow Agency,MT,59022,(406) 638-3217 ,(406) 638-2623,45.5605145,-107.4271624
liri,Little River Canyon National Preserve,"Little River Canyon National Preserve, 4322 Little River Trail NE,   Suite 100",Fort Payne,AL,35967,,(256) 997-9129,34.3807297,-85.6315729
chsc,Little Rock Central High School National Historic Site,2120 Daisy Bates Drive,Little Rock,AR,72202,,(501) 396-3001,34.738773,-92.29732
LONG,Longfellow National Historic Site,"Longfellow House - Washington's Headquarters National Historic Site, 105 Brattle Street",Cambridge,MA,02138,(617) 876-4491 ,(617) 497-8718,42.376989,-71.12637
LOWE,Lowell National Historical Park,"Superintendent, 67 Kirk Street",Lowell,MA,01852,,(978) 970-5085,42.6471941,-71.3097974
LOEA,Lower East Side Tenement Museum National Historic Site,"108 Orchard Street, Visitor Center",New York,NY,10002,(212) 982-8420 ,(212) 431-0402,40.740142,-73.986736
LYJO,Lyndon B. Johnson National Historical Park,"Superintendent, P.O. Box 329",Johnson City,TX,78636,(830) 868-7128 ext. 244,,30.285392,-98.398629
MAAC,Maine Acadian Culture,"c/o Acadia National Park, P.O. Box 177",Bar Harbor,ME,04609,(207) 288-3338 ,(207) 288-8813,44.3385559,-68.2733346
MACA,Mammoth Cave National Park,"Superintendent, 1 Mammoth Cave Parkway   P.O. Box 7",Mammoth Cave,KY,42259,,,37.192189,-86.121529
MANA,Manassas National Battlefield Park,"Manassas National Battlefield, 12521 Lee Highway",Manassas,Virginia,20109,,(703) 754-1107,38.805198,-77.571996
manz,Manzanar National Historic Site,"Manzanar National Historic Site, P.O. Box 426",Independence,CA,93526,(760) 878-2194 ext. 2710,(760) 878-2949,36.7284743,-118.1462983
MABI,Marsh-Billings-Rockefeller National Historical Park,"Marsh-Billings-Rockefeller National Historical Park, 54 Elm Street",Woodstock,VT,05091,(802) 457-3368 ext. 22 ,(802) 457-3405,43.6285354,-72.5183519
malu,Martin Luther King Jr National Historic Site,"Superintendent, 450 Auburn Avenue, NE",Atlanta,Georgia,30312,(404) 331-6922 ,(404) 730-3112,33.7555614,-84.3734823
MAVA,Martin Van Buren National Historic Site,1013 Old Post Road,Kinderhook,New York,12106,,(518) 758-6986,42.3656798,-73.704337
meve,Mesa Verde National Park,"Mesa Verde National Park, P.O. Box 8",Mesa Verde,Colorado,81330,(970) 529-4465 ,(970) 529-4637,37.16748,-108.525539
MIIN,Minidoka National Historic Site,P.O. Box 570,Hagerman,ID,83332,,(208) 837-4857,42.812124,-114.898669
MIMA,Minute Man National Historical Park,"Minute Man National Historical Park, 174 Liberty St.",Concord,MA,01742,,(978) 318-7800,42.471166,-71.35372
MIMI,Minuteman Missile National Historic Site,21280 SD Hwy 240,Philip,SD,57567,,(605) 433-5558,43.816298,-101.899697
MISS,Mississippi National River and Recreation Area,"111 East Kellogg Blvd., Suite 105",Saint Paul,MN,55101,,(651) 290-3214,44.9455077,-93.0898974
MNRR,Missouri National Recreational River,"Missouri National Recreational River, 508 E. 2nd Street",Yankton,SD,57078,(605) 665-0209 ,(605) 665-4183,42.868919,-97.384615
moja,Mojave National Preserve,"Mojave National Preserve, 2701 Barstow Road",Barstow,California,92311,(760) 252-6100,(760) 252-6174,34.871394,-117.020322
MONO,Monocacy National Battlefield,4801 Urbana Pike,Frederick,Maryland,21704,(301) 662-3515,(301) 662-3420,39.3665648,-77.388428
moca,Montezuma Castle National Monument,"Montezuma Castle National Monument, P. O. Box 219",Camp Verde,Arizona,86322,,(928) 567-3597,34.6089399,-111.8412083
MOCR,Moores Creek National Battlefield,40 Patriots Hall Drive,Currie,North Carolina,28435,(910) 283-5591 ,(910) 283-5351,34.458784,-78.107428
MOPI,Mormon Pioneer National Historic Trail,"National Trails Intermountain Region, 324 South State St., Suite 200",Salt Lake City,UT,84111,(801) 741-1012 ,(801) 741-1102,40.7620689,-111.888922
MORR,Morristown National Historical Park,"Morristown National Historical Park, 30 Washington Place",Morristown,New Jersey,07960-4299 ,,(973) 285-5021,40.7969641,-74.4659163
MORA,Mount Rainier National Park,"Mount Rainier National Park, 55210 238th Ave. East",Ashford,WA,98304,,(360) 569-2170,46.7558282,-122.1207998
MORU,Mount Rushmore National Memorial,"Mount Rushmore National Memorial, 13000 Hwy 244 Bldg 31 Suite 1",Keystone,SD,57751,(605) 574-2523,(605) 574-2307,43.875419,-103.4531437
muwo,Muir Woods National Monument,Muir Woods National Monument,Mill Valley,California,94941-2696 ,(415) 388-2596,(415) 389-6957,37.8960372,-122.580256
NATT,Natchez Trace National Scenic Trail,"Natchez Trace National Scenic Trail, 2680 Natchez Trace Parkway",Tupelo,MS,38804,,(662) 680-4034,34.307545,-88.720974
natr,Natchez Trace Parkway,"Natchez Trace Parkway, 2680 Natchez Trace Parkway",Tupelo,MS,38804,(800) 305-7417,(662) 680-4034,34.307545,-88.720974
NACE,National Capital Parks-East,"1900 Anacostia Dr., SE",Washington,DC,20020,,(202) 690-0862,38.8681082,-76.9953624
npsa,National Park of American Samoa,"Superintendent, National Park of American Samoa",Pago Pago,AS,96799,,(684) 699-3986,-14.29129,-170.696426
NPNH,National Parks of New York Harbor,"National Parks of New York Harbor, Federal Hall National Memorial 26 Wall Street",New York,New York,10005,(212) 668-5180,(212) 668-2375,40.7073139,-74.010262
NABR,Natural Bridges National Monument,"Natural Bridges, HC-60 Box 1",Lake Powell,Utah,84533,(435) 692-1234 ext. 16 ,(435) 692-1111,37.593888,-110.009234
nava,Navajo National Monument,"Superintendent, Navajo National Monument, HC 71 Box 3",Tonalea,AZ,86044,(928) 672-2700 ,(928) 672-2703,36.40425,-110.910901
NEBE,New Bedford Whaling National Historical Park,"New Bedford Whaling NHP, 33 William Street",New Bedford,MA,02740,(508) 996-4095 ,(508) 984-1250,41.635758,-70.924046
JAZZ,New Orleans Jazz National Historical Park,419 Decatur Street,New Orleans,LA,70130,,(504) 589-4845,29.955125,-90.064502
NERI,New River Gorge National River,P.O. Box 246,Glen Jean,WV,25846,,(304) 465-0591,37.899209,-81.157499
NEPE,Nez Perce National Historical Park,"Nez Perce NHP, PO Box 1000",Lapwai,ID,83540,(208) 843-7001 ,(208) 843-7003,46.416175,-116.797523
NICO,Nicodemus National Historic Site,"Nicodemus National Historic Site, 304 Washington Avenue",Nicodemus,KS,67625-3015 ,(785) 839-4233,(785) 839-4325,39.393117,-99.617178
NISI,Ninety Six National Historic Site,"Ninety Six National Historic Site, PO Box 418",Ninety Six,SC,29666,,(864) 543-2058,34.1433109,-82.013465
NIOB,Niobrara National Scenic River,"Niobrara National Scenic River, P.O. Box 319",Valentine,NE,69201,,(402) 376-1949,42.8129207,-99.9294552
noat,Noatak National Preserve,"National Park Service, P.O. Box 1029",Kotzebue,AK,99752,(907) 442-3890,(907) 442-8316,66.898684,-162.599068
lach,North Cascades National Park Service Complex,"North Cascades National Park Complex, 810 State Route 20",Sedro-Woolley,WA,98284,(360) 854-7200,(360) 856-1934,48.5109531,-122.2275204
NOCO,North Country National Scenic Trail,700 Rayovac Dr. Suite 100,Madison,Wisconsin,53711,,(608) 441-5606,43.049044,-89.491477
NORG,Northern Rio Grande National Heritage Area,PO BOX 610,Espa&ntilde;ola,NM,87532,,,35.98847,-106.087949
OBED,Obed Wild & Scenic River,"Obed Wild and Scenic River, P.O. Box 429",Wartburg,TN,37887,(423) 346-6294 ,(423) 346-3362,36.0761546,-84.6505281
ocmu,Ocmulgee National Monument,"Ocmulgee National Monument, 1207 Emery Highway",Macon,GA,31217,,(478) 752-8259,32.8483695,-83.6034314
OKCI,Oklahoma City National Memorial,PO Box 676,Oklahoma City,OK,73101,(405) 609-8855 ,(405) 609-8863,35.47,-97.52
olsp,Old Spanish National Historic Trail,"National Trails Intermountain Region, PO Box 728",Santa Fe,New Mexico,87504-0728 ,(505) 988-6098 ,(505) 986-5214,35.689361,-105.933751
OREG,Oregon National Historic Trail,"National Park Service, 324 S. State St., Suite 200",Salt Lake City,UT,84111,(801) 741-1012 ,(801) 741-1102,40.7620689,-111.888922
orpi,Organ Pipe Cactus National Monument,"Organ Pipe Cactus National Monument, 10 Organ Pipe Drive",Ajo,AZ,85321,(520) 387-6849 ext. 7302,,32.229742,-112.883295
OVVI,Overmountain Victory National Historic Trail,"Superintendent, 2635 Park Road",Blacksburg,SC,29702,,(864) 936-3477,35.078017,-81.395068
OXHI,Oxon Cove Park & Oxon Hill Farm,1900 Anacostia Dr. S.W.,Washington,DC,20020,(301) 839-1176 ,(301) 763-1066,38.8681082,-76.9953624
OZAR,Ozark National Scenic Riverways,"Ozark National Scenic Riverways, P.O. Box 490",Van Buren,MO,63965,,(573) 323-4140,36.9202916,-90.9045238
PAIS,Padre Island National Seashore,"Malaquite Visitor Center, PO Box 181300",Corpus Christi,TX,78480-1300 ,(361) 949-8068 ,(361) 949-9951,27.577099,-97.230383
PAAL,Palo Alto Battlefield National Historical Park,"1623 Central Boulevard, Suite 213",Brownsville,Texas,78520-8326 ,(956) 541-2785 ,(956) 541-6356,25.927065,-97.511873
usar,Park News,"Superintendent, 1 Arizona Memorial Place",Honolulu,Hawaii,96818-3145 ,(808) 422-3300 ,(808) 483-8608,21.366479,-157.93779
peri,Pea Ridge National Military Park,"Pea Ridge NMP, 15930 E Highway 62",Garfield,AR,72732,,(479) 451-0219,36.442602,-94.025976
PECO,Pecos National Historical Park,"Superintendent, Pecos National Historical Park PO Box 418",Pecos,New Mexico,87552,(505) 757-7200,(505) 757-7207,35.548124,-105.682312
PEVI,Perrys Victory and International Peace Memorial,"Perry's Victory and International Peace Memorial, Post Office Box 549",Put-in-Bay,Ohio,43456,(419) 285-2184 ,(419) 285-2516,41.654125,-82.811077
pefo,Petrified Forest National Park,"Superintendent, Petrified Forest National Park, PO Box 2217",Petrified Forest,AZ,86028,,(928) 524-3567,34.90999,-109.806792
PETR,Petroglyph National Monument,"Petroglyph National Monument, 6001 Unser Blvd, NW",Albuquerque,New Mexico,87120,,(505) 899-0207,35.161624,-106.719073
PIRO,Pictured Rocks National Lakeshore,"Pictured Rocks National Lakeshore, P.O. Box 40",Munising,Michigan,49862-0040 ,(906) 387-3700,(906) 387-4025,46.5178371,-86.4090096
PINE,Pinelands National Reserve,"New Jersey Pinelands Commission, 15 Springfield Rd (P.O. Box 7)",New Lisbon,NJ,08064,(609) 894-7300 ,(609) 894-7330,39.9654592,-74.6287556
pinn,Pinnacles National Monument,"Pinnacles National Monument, 5000 Highway 146",Paicines,CA,95043-9762 ,(831) 389-4485 ,(831) 389-4489,36.4869826,-121.2135701
pisp,Pipe Spring National Monument,"Pipe Spring National Monument, HC 65 Box 5",Fredonia,Arizona,86022,,,36.862928,-112.740538
pore,Point Reyes National Seashore,"Point Reyes National Seashore, 1 Bear Valley Rd.",Point Reyes Station,CA,94956,,(415) 663-8132,38.04195,-122.7888848
poex,Pony Express National Historic Trail,"National Park Service, 324 S. State St., Suite 200",Salt Lake City,UT,84111,(801) 741-1012 ,(801) 741-1102,40.7620689,-111.888922
poch,Port Chicago Naval Magazine National Memorial,"Port Chicago Naval Magazine NM, 4202 Alhambra Ave.",Martinez,CA,94553,,(925) 838-9471,37.9921651,-122.130977
POHE,Potomac Heritage National Scenic Trail,"Potomac Heritage National Scenic Trail Office, Post Office Box B",Harpers Ferry,WV,25425,,,39.342873,-77.483886
POPO,Poverty Point National Monument,"Poverty Point State Historic Site, P.O. Box 276",Epps,LA,71237,(888) 926-5492,,32.63679,-91.405532
puho,Pu`uhonua o Honaunau National Historical Park,Pu‘uhonua o Honaunau National Historical Park,Captain Cook,HI,96704,,(808) 328-8251 ,19.4173278,-155.9080889
puhe,Pu'ukohola Heiau National Historic Site,"Superintendent, 62-3601 Kawaihae Road",Kawaihae,HI,96743,,(808) 882-4610,20.027026,-155.819965
RABR,Rainbow Bridge National Monument,"Rainbow Bridge NM, PO Box 1507",Page,Arizona,86040,,(928) 608-6259,36.894948,-111.473479
redw,Redwood National and State Parks,"Redwood National & State Parks, 1111 Second Street",Crescent City,California,95531,(707) 464-6101 ,(707) 464-1812,41.753421,-124.194538
rigr,Rio Grande Wild & Scenic River,"Rio Grande Wild & Scenic River c/o Big Bend National Park, PO Box 129",Big Bend National Park,TX,79834,(432) 477-2251,(432) 477-1175,29.328389,-103.205948
romo,Rocky Mountain National Park,"Rocky Mountain National Park, 1000 Highway 36",Estes Park,Colorado,80517,,,40.3753949,-105.5059499
ROWI,Roger Williams National Memorial,"Roger Williams National Memorial, 282 North Main Street",Providence,RI,02903,(401) 521-7266 ,(401) 521-7239,41.831347,-71.410749
ROCA,Roosevelt Campobello International Park,"Executive Secretary, P.O. Box 97",Lubec,Maine,04652,(506) 752-2922 ,(506) 752-6000,44.858509,-66.984178
rori,Rosie the Riveter / WWII Home Front National Historical Park,"PO Box 336, Station A",Richmond,CA,94804,,(510) 232-5504,37.9338362,-122.3442547
ruca,Russell Cave National Monument,"Russell Cave National Monument, 3729 County Road 98",Bridgeport,Alabama,35740,,(256) 495-9220,34.9807721,-85.8063291
SAHI,Sagamore Hill American National Historic Site,20 Sagamore Hill Road,Oyster Bay,New York,11771,(516) 922-4788 ,(516) 922-4792,40.882588,-73.5053767
sagu,Saguaro National Park,"Saguaro National Park, 3693 South Old Spanish Trail",Tucson,Arizona,85730,,(520) 733-5183,32.1792142,-110.738004
SACR,Saint Croix Island International Historic Site,"c/o Acadia National Park, P.O. Box 177",Bar Harbor,ME,04609-0177 ,(207) 454-3871,(207) 288-8813,44.3385559,-68.2733346
sacn,Saint Croix National Scenic Riverway,401 North Hamilton Street,Saint Croix Falls,Wisconsin,54024,(715) 483-2274,(715) 483-3288,45.4171447,-92.6462101
SAPA,Saint Paul's Church National Historic Site,"St. Paul's Church National Historic Site, 897 South Columbus Ave.",Mount Vernon,NY,10550,(914) 667-4116,,40.8933639,-73.8264656
SAGA,Saint-Gaudens National Historic Site,139 Saint-Gaudens Road,Cornish,NH,03745,(603) 675-2175,(603) 675-2701,43.49751,-72.373789
SAMA,Salem Maritime National Historic Site,"Salem Maritime National Historic Site, 160 Derby Street",Salem,MA,01970,(978) 740-1650 ,(978) 740-1685,42.5217765,-70.8862569
SAPU,Salinas Pueblo Missions National Monument,P.O. Box 517,Mountainair,New Mexico,87036,,(505) 847-2441,34.520341,-106.241127
saan,San Antonio Missions National Historical Park,"San Antonio Missions National Historical Park, 2202 Roosevelt Avenue",San Antonio,Texas,78210,,(210) 534-1106,29.381974,-98.482254
safr,San Francisco Maritime National Historical Park,"San Francisco Maritime NHP, Fort Mason Center, Building E",San Francisco,CA,94123,(415) 447-5000,(415) 556-1624,37.804208,-122.431068
SAJU,San Juan National Historic Site,"San Juan NHS, 501 Calle Norzagaray",San Juan,Puerto Rico,00901,,(787) 289-7972,18.468075,-66.115186
sand,Sand Creek Massacre National Historic Site,"PO Box 249, 910 Wansted",Eads,CO,81036,,(719) 438-5410,38.4838305,-102.7857891
safe,Santa Fe National Historic Trail,"National Trails Intermountain Region, PO Box 728",Santa Fe,New Mexico,87504-0728 ,(505) 988-6098 ,(505) 986-5214,35.689361,-105.933751
samo,Santa Monica Mountains National Recreation Area,401 West Hillcrest Drive,Thousand Oaks,CA,91360,,(805) 370-2350,34.1859982,-118.8861188
SARA,Saratoga National Historical Park,648 Route 32,Stillwater,NY,12170,,(518) 664-3349,43.0189449,-73.6456328
SAIR,Saugus Iron Works National Historic Site,244 Central Street,Saugus,MA,01906,,(781) 231-7345,42.468009,-71.008909
SCBL,Scotts Bluff National Monument,P.O. Box 27,Gering,Nebraska,69341,(308) 436-9700 ,(308) 436-7611,41.824167,-103.665
semo,Selma To Montgomery National Historic Trail,"7002 US Highway 80, P.O. Box 595",Hayneville,AL,36040,,(334) 877-1985,32.268672,-86.717968
seki,Sequoia & Kings Canyon National Park,"Sequoia & Kings Canyon National Parks, 47050 Generals Highway",Three Rivers,CA,93271-9700 ,(559) 565-3341,(559) 565-3730,36.491318,-118.825722
SHIL,Shiloh National Military Park,"Shiloh National Military Park, 1055 Pittsburg Landing Road",Shiloh,Tennessee,38376,,(731) 689-5450,35.151883,-88.329943
sitk,Sitka National Historical Park,"Sitka National Historical Park, 103 Monastery Street",Sitka,Alaska,99835,,(907) 747-5938,57.0519805,-135.3315533
SLBE,Sleeping Bear Dunes National Lakeshore,"Sleeping Bear Dunes National Lakeshore, 9922 Front Street",Empire,MI,49630,,(231) 326-5382,44.811405,-86.056252
SPAR,Springfield Armory National Historic Site,"Springfield Armory NHS, One Armory Square, Suite 2",Springfield,Massachusetts,01105-1299 ,(413) 734-8551 ,(413) 747-8062,42.095995,-72.583279
STSP,Star-Spangled Banner National Historic Trail,"National Park Service, 410 Severn Avenue, Suite 314",Annapolis,MD,21403,,(410) 263-2137,38.971705,-76.483576
STLI,Statue of Liberty National Monument,"National Park Service, Statue of Liberty National Monument, Liberty Island",New York,NY,10004-1467 ,(212) 363-3200,(212) 363-6304,40.699067,-74.028522
STEA,Steamtown National Historic Site,"Click the Contact Us link to your left, 150 South Washington Ave",Scranton,PA,18503,(570) 340-5200,,41.406345,-75.6654819
STRI,Stones River National Battlefield,3501 Old Nashville Highway,Murfreesboro,TN,37129,,(615) 893-9508,35.884486,-86.43472
sucr,Sunset Crater Volcano National Monument,"Superintendent, Flagstaff Area National Monuments, 6400 N. Hwy 89",Flagstaff,AZ,86004,,(928) 714-0565,35.238961,-111.570755
TAPR,Tallgrass Prairie National Preserve,"Tallgrass Prairie National Preserve, P.O. Box 585",Cottonwood Falls,KS,66845,(620) 273-8494,(620) 273-6099,38.4426255,-96.5730004
THKO,Thaddeus Kosciuszko National Memorial,"INHP, 143 S. Third Street",Philadelphia,Pennsylvania,19106,(215) 597-7130 ,(215) 597-0321,39.9480134,-75.1461357
THRB,Theodore Roosevelt Birthplace National Historic Site,"Theodore Roosevelt Birthplace NHS, 28 East 20th Street",New York,NY,10003,,,40.7387645,-73.988999
THRI,Theodore Roosevelt Inaugural National Historic Site,"Theodore Roosevelt Inaugural National Historic SIte, 641 Delaware Avenue",Buffalo,NY,14202,,(716) 884-0330,42.901478,-78.872416
THCO,Thomas Cole National Historic Site,"Thomas Cole NHS/Cedar Grove, PO Box 426, 218 Spring St",Catskill,NY,12414,,(518) 943-0652,42.225588,-73.861144
EDIS,Thomas Edison National Historical Park,"Thomas Edison National Historical Park, 211 Main Street",West Orange,New Jersey,07052-5612 ,(973) 736-0550 ext. 11 ,(973) 736-6567,40.7839654,-74.2339497
THST,Thomas Stone National Historic Site,6655 Rose Hill Rd,Port Tobacco,MD,20677,,(301) 934-8793,38.5223783,-77.0285753
TICA,Timpanogos Cave National Monument,R.R. 3 Box 200,American Fork,Utah,84003,,(801) 756-5661,40.371125,-111.806123
foca,Timucuan Ecological and Historic Preserve & Fort Caroline National Memorial,12713 Fort Caroline Road,Jacksonville,Florida,32225,(904) 641-7155,(904) 221-5248,30.3793742,-81.5029008
tont,Tonto National Monument,"Tonto National Monument, 26260 N Az Hwy 188 # 2",Roosevelt,AZ,85545,(928) 467-2241 ,(928) 467-2225,33.66672,-111.1297924
TOSY,Touro Synagogue National Historic Site,"Touro Synagogue Foundation, 85 Touro Street",Newport,RI,02840,,(401) 847-8121,41.489131,-71.312102
trte,Trail of Tears National Historic Trail,"National Trails Intermountain Region, P.O. Box 728",Santa Fe,New Mexico,87504-0728 ,(505) 988-6098 ,(505) 986-5214,35.691543,-105.937406
tule,Tule Lake Unit,"Tule Lake Unit, P.O. Box 1240",Tulelake,CA,96134,(530) 260-0537,,41.9551552,-121.4777694
tuma,Tumacacori National Historical Park,"Superintendent, P. O. Box 8067",Tumac&aacute;cori,Arizona,85640,(520) 398-2341 ,(520) 398-9271,31.57766,-110.999009
TUPE,Tupelo National Battlefield,"Tupelo National Battlefield, 2680 Natchez Trace Parkway",Tupelo,MS,38804,,(662) 680-4034,34.307545,-88.720974
tuai,Tuskegee Airmen National Historic Site,"Tuskegee Airmen NHS, 1616 Chappie James Ave.",Tuskegee,AL,36083,(334) 724-0922,(334) 724-0952,32.4505152,-85.6773793
tuin,Tuskegee Institute National Historic Site,"Tuskegee Institute National Historic Site, 1212 West Montgomery Road",Tuskegee,AL,36083,,(334) 727-4597,32.4283309,-85.7091633
tuzi,Tuzigoot National Monument,"Tuzigoot National Monument, P.O. Box 219",Camp Verde,Arizona,86322,(928) 634-5564,(928) 567-3597,34.5636358,-111.8543178
ULSG,Ulysses S Grant National Historic Site,"Superintendent, 7400 Grant Road",St. Louis,MO,63123,,(314) 842-1659,38.547834,-90.356985
UPDE,Upper Delaware Scenic and Recreational River,"Superintendent, 274 River Road",Beach Lake,PA,18405,(570) 729-7134,(570) 729-7148,41.6199728,-75.0508572
VAFO,Valley Forge National Historical Park,1400 North Outer Line Drive,King of Prussia,PA,19406,,(610) 783-1060,40.095596,-75.423987
VAMA,Vanderbilt Mansion National Historic Site,"National Park Service, 4097 Albany Post Road",Hyde Park,New York,12538,,,41.77043,-73.932905
VICK,Vicksburg National Military Park,"Vicksburg National Military Park, 3201 Clay Street",Vicksburg,Mississippi,39183,(601) 636-0583 ,(601) 636-9497,32.345551,-90.855577
VIIS,Virgin Islands National Park,"Virgin Islands National Park, 1300 Cruz Bay Creek",St. John,VI,00830,(340) 776-6201 ext. 238 ,(340) 775-9592,18.34215,-64.767569
VOYA,Voyageurs National Park,"Voyageurs National Park, 360 Highway 11 East",International Falls,Minnesota,56649,,(218) 285-7407,48.6020835,-93.403716
waca,Walnut Canyon National Monument,"Superintendent, Flagstaff Area National Monuments, 6400 N. Hwy 89",Flagstaff,AZ,86004,,(928) 527-0246,35.238961,-111.570755
wapa,War in the Pacific National Historical Park,"Superintendent, 135 Murray Boulevard",Hag&aring;t&ntilde;a,Guam,96910,,,13.44645,144.786636
wefa,Weir Farm National Historic Site,"Weir Farm NHS, 735 Nod Hill Road",Wilton,CT,06897,(203) 834-1896 ,(203) 834-2421,41.2566156,-73.4562524
whis,Whiskeytown National Recreational Area,"P.O. Box 188, 14412 Kennedy Memorial Drive",Whiskeytown,CA,96095-0188 ,,(530) 246-5154,40.612879,-122.573041
WHSA,White Sands National Monument,"White Sands National Monument, PO Box 1086",Holloman AFB,NM,88330,,,32.7696209,-106.3182956
WIHO,William Howard Taft National Historic Site,"William Howard Taft National Historic Site, 2038 Auburn Ave.",Cincinnati,Ohio,45219,(513) 684-3262 ext. 201,(513) 684-3627,39.119518,-84.508156
WORI,Women's Rights National Historical Park,"Superintendent, 136 Fall Street",Seneca Falls,New York,13148,(315) 568-0024,(315) 568-2141,42.9106968,-76.8001038
wrst,Wrangell-St. Elias National Park & Preserve,"Wrangell-St. Elias National Park, PO Box 439",Copper Center,AK,99573,,(907) 822-7216,61.5614999,-143.8523096
WRBR,Wright Brothers National Memorial,"Wright Brothers National Memorial, 1401 National Park Drive",Manteo,North Carolina,27954,(252) 441-7430 ,(252) 473-2595,35.938547,-75.712322
